filename,num_cycles_op,avg_v_min_target_V,avg_v_max_target_V,avg_age_temp,avg_age_chg_rate,avg_age_dischg_rate,SOC Window Min,SOC Window Max
cell_eocv2_P053_3_S19_C07.csv,446,2.5235446212603434,4.188483863781032,40.0,0.33,0.33,0,100
cell_eocv2_P017_3_S05_C05.csv,132,2.532260961810467,4.18487404526167,0.0,0.33,0.33,0,100
cell_eocv2_P045_2_S13_C08.csv,1130,3.218939159739384,4.1881076162660085,25.0,0.33,0.33,10,100
cell_eocv2_P019_2_S02_C04.csv,80,2.535166923076923,4.179543589743591,0.0,1.0,1.0,0,100
cell_eocv2_P064_1_S17_C01.csv,967,3.240107765151516,4.091024924242424,40.0,1.6700000000000004,1.0,10,90
cell_eocv2_P020_3_S03_C00.csv,40,2.5609559999999996,4.166563111111112,0.0,1.67,1.0,0,100
cell_eocv2_P050_1_S10_C09.csv,1522,3.230733767820774,4.089857298031228,25.0,0.33,1.0,10,90
cell_eocv2_P035_3_S10_C02.csv,413,3.2283868672046947,4.191523110785035,10.0,1.0,1.0,10,100
cell_eocv2_P036_2_S09_C00.csv,68,3.2014319034852545,4.1814144772117965,10.0,1.6699999999999997,1.0,10,100
cell_eocv2_P021_3_S04_C08.csv,440,3.219065900383142,4.1879268547544415,0.0,0.33,0.33,10,100
cell_eocv2_P028_3_S04_C01.csv,114,3.219887483702738,4.088256584093871,0.0,1.67,1.0,10,90
cell_eocv2_P026_3_S03_C07.csv,510,3.2276037982565384,4.089466531755915,0.0,0.33,1.0,10,90
cell_eocv2_P034_3_S09_C06.csv,604,3.2248784603619685,4.1904522049451955,10.0,0.33,1.0,10,100
cell_eocv2_P051_3_S12_C05.csv,1261,3.2382395879732746,4.090675548838689,25.0,1.0,1.0,10,90
cell_eocv2_P063_2_S17_C05.csv,1154,3.2386787181846066,4.0907448712051515,40.0,1.0,1.0,10,90
cell_eocv2_P039_3_S07_C05.csv,649,3.234664488330341,4.090457594254937,10.0,1.0,1.0,10,90
cell_eocv2_P043_3_S14_C03.csv,207,2.519499513888889,4.190646111111112,25.0,1.0,1.0,0,100
cell_eocv2_P026_2_S02_C07.csv,676,3.227726870645259,4.089283520145409,0.0,0.32999999999999996,1.0,10,90
cell_eocv2_P029_3_S09_C07.csv,159,2.526069664525339,4.1876295503211995,10.0,0.33,0.33,0,100
cell_eocv2_P042_3_S14_C05.csv,249,2.517333333333333,4.191409675281645,25.0,0.33,1.0,0,100
cell_eocv2_P048_2_S14_C00.csv,738,3.230269938271605,4.191685432098767,25.0,1.6700000000000002,1.0,10,100
cell_eocv2_P062_2_S17_C07.csv,911,3.2310659517783407,4.089767550286399,40.0,0.33,1.0,10,90
cell_eocv2_P044_1_S11_C00.csv,166,2.5248012658227847,4.184000000000001,25.0,1.67,1.0,0,100
cell_eocv2_P028_1_S02_C01.csv,108,3.2191885714285715,4.08767105590062,0.0,1.67,1.0,10,90
cell_eocv2_P037_2_S06_C09.csv,951,3.221610064516129,4.088709806451612,10.0,0.33000000000000007,0.33000000000000007,10,90
